"","Country","cases","lat","lng"
"1","Geneva",86,46.2017559,6.1466014
"2","Vaud",222,46.6356963,6.5320717
"3","Basel City",101,47.5579097,7.5927728
"4","Aargau",28,47.412396,8.1948321
"5","Zurich",124,47.3723941,8.5423328
"6","Ticino",218,46.3356506,8.753706
"7","Graubünden",39,46.6960615,9.6027351
"8","Valais",29,46.2303063,7.6605757
"9","Basel Country",42,47.4839723,7.7347783
"10","Bern",62,46.8739775,7.5631943
"11","Fribourg",31,46.6789116,7.1027113
"12","Zug",7,47.1486137,8.5539378
"13","Schwyz",10,47.0571976,8.7222073
"14","Neuchâtel",37,46.9895828,6.9292641
"15","St. Gallen",19,47.2033184,9.3507024
"16","Lucerne",13,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",5,47.3960076,9.3705839
"18","Jura",7,47.3370866,7.2440935
"19","Thurgau",5,47.5859649,9.1428769
"20","Solothurn",8,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Glarus",2,46.9796562,9.108812
"23","Schaffhausen",1,47.7151451,8.519796
"24","Nidwalden",5,46.942756,8.4119773
"25","Obwalden",7,46.8613857,8.2067825
"26","Afghanistan",7,33,65
"27","Albania",23,41,20
"28","Algeria",24,28,3
"29","Andorra",1,42.5,1.6
"30","Argentina",19,-34,-64
"31","Armenia",4,40,45
"32","Australia",128,-27,133
"33","Austria",302,47.3333,13.3333
"34","Azerbaijan",11,40.5,47.5
"35","Bahrain",195,26,50.55
"36","Bangladesh",3,24,90
"37","Belarus",12,53,28
"38","Belgium",314,50.8333,4
"39","Bhutan",1,27.5,90.5
"40","Bolivia",2,-17,-65
"41","Bosnia and Herzegovina",11,44,18
"42","Brazil",52,-10,-55
"43","Brunei",11,4.5,114.6667
"44","Bulgaria",7,43,25
"45","Burkina Faso",2,13,-2
"46","Cambodia",3,13,105
"47","Cameroon",2,6,12
"48","Canada",117,60,-95
"49","Chile",23,-30,-71
"50","China",80932,35,105
"51","Colombia",9,4,-72
"52","Congo",1,-1,15
"53","Costa Rica",22,10,-84
"54","Côte d'Ivoire",1,8,-5
"55","Croatia",19,45.1667,15.5
"56","Cuba",3,21.5,-80
"57","Cyprus",6,35,33
"58","Czech Republic",94,49.75,15.5
"59","Denmark",617,56,10
"60","Dominican Republic",5,19,-70.6667
"61","Ecuador",17,-2,-77.5
"62","Egypt",67,27,30
"63","Estonia",16,59,26
"64","Finland",59,64,26
"65","France",2284,46,2
"66","French Guiana",5,4,-53
"67","Georgia",24,42,43.5
"68","Germany",2078,51,9
"69","Greece",99,39,22
"70","Guyana",1,5,-59
"71","Holy See (Vatican City State)",1,41.9,12.45
"72","Honduras",2,15,-86.5
"73","Hungary",13,47,20
"74","Iceland",103,65,-18
"75","India",73,20,77
"76","Indonesia",34,-5,120
"77","Iran, Islamic Republic of",10075,32,53
"78","Iraq",71,33,44
"79","Ireland",43,53,-8
"80","Israel",131,31.5,34.75
"81","Italy",12462,42.8333,12.8333
"82","Jamaica",2,18.25,-77.5
"83","Japan",639,36,138
"84","Jordan",1,31,36
"85","Korea, Republic of",7869,37,127.5
"86","Kuwait",80,29.3375,47.6581
"87","Latvia",10,57,25
"88","Lebanon",61,33.8333,35.8333
"89","Liechtenstein",1,47.1667,9.5333
"90","Lithuania",3,56,24
"91","Luxembourg",19,49.75,6.1667
"92","Macedonia, the former Yugoslav Republic of",7,41.8333,22
"93","Malaysia",149,2.5,112.5
"94","Maldives",8,3.25,73
"95","Malta",6,35.8333,14.5833
"96","Martinique",3,14.6667,-61
"97","Mexico",12,23,-102
"98","Moldova, Republic of",3,47,29
"99","Monaco",2,43.7333,7.4
"100","Mongolia",1,46,105
"101","Morocco",6,32,-5
"102","Nepal",1,28,84
"103","Netherlands",503,52.5,5.75
"104","New Zealand",5,-41,174
"105","Nigeria",2,10,8
"106","Norway",702,62,10
"107","Oman",18,21,57
"108","Pakistan",20,30,70
"109","Palestinian Territory, Occupied",0,32,35.25
"110","Panama",11,9,-80
"111","Paraguay",5,-23,-58
"112","Peru",15,-10,-76
"113","Philippines",52,13,122
"114","Poland",49,52,20
"115","Portugal",59,39.5,-8
"116","Qatar",262,25.5,51.25
"117","Réunion",1,-21.1,55.6
"118","Romania",49,46,25
"119","Russia",28,60,100
"120","San Marino",69,43.7667,12.4167
"121","Saudi Arabia",45,25,45
"122","Senegal",4,14,-14
"123","Serbia",19,44,21
"124","Singapore",178,1.3667,103.8
"125","Slovakia",16,48.6667,19.5
"126","Slovenia",89,46,15
"127","South Africa",17,-29,24
"128","Spain",2277,40,-4
"129","Sri Lanka",2,7,81
"130","Sweden",599,62,15
"131","Taiwan",49,23.5,121
"132","Thailand",70,15,100
"133","Togo",1,8,1.1667
"134","Tunisia",7,34,9
"135","Turkey",1,39,35
"136","Ukraine",1,49,32
"137","United Arab Emirates",85,24,54
"138","United Kingdom",459,54,-2
"139","United States",1663,38,-97
"140","Vietnam",39,16,106
